data_completa,data,semana,qtd_marmitas,cardapio,qtd_frango,qtd_carne,qtd_calabresa,qtd_linguica,qtd_arroz,qtd_feijao,qtd_macarao,ano,mes
,2021-05-01,sábado,47,"arroz, feijao, farofa e carne com batata",,,,,,,,2021,5
,2021-05-02,domingo,45,"Arroz, Strogonoff de frango e batata palha.",,,,,,,,2021,5
,2021-05-03,segunda,46,"Arroz, feijao, farofa e carne com batata",,,,,,,,2021,5
,2021-05-04,terça,44,"Arroz, feijao, farofa e carne de porco",,,,,,,,2021,5
2021-05-05 13:33:27.124,2021-05-05,quarta,47,Macarrão com molho de linguiça.,,,,,,,,2021,5
2021-05-06 13:56:41.880,2021-05-06,quinta,42,"Arroz, feijão, linguiça e batata sautee.",,,,,,,,2021,5
2021-05-07 13:21:28.582,2021-05-07,sexta,43,"Arroz, Strogonoff de frango e batata palha",,,,,,,,2021,5
2021-05-09 00:45:33.814,2021-05-08,sábado,49,"Arroz , feijão, frango e legumes.",,,,,,,,2021,5
2021-05-09 11:46:44.531,2021-05-09,domingo,49,"Arroz, Strogonoff de frango e batata palha.",,,,,,,,2021,5
2021-05-11 13:56:18.843,2021-05-11,terça,63,"Arroz,feijão, frango e abóbora.",,,,,,,,2021,5
2021-05-12 22:33:20.360,2021-05-12,quarta,59,"Sopa abóbora, carne, cenoura, repolho e macarrão.",,,,,,,,2021,5
2021-05-13 23:41:56.485,2021-05-13,quinta,59,"Arroz, feijão, carne panela e purê de abóbora.",,,,,,,,2021,5
,2021-05-14,sexta,66,Macarrão com molho de linguiça.,,,,,,,,2021,5
2021-05-15 20:46:21.452,2021-05-15,sábado,63,"Arroz, feijão, calabresa acebolada e salada(chuchu, abobrinha, cenoura e abóbora).",,,,,,,,2021,5
2021-05-17 17:28:02.515,2021-05-17,segunda,60,"Arroz, Strogonoff de frango e batata palha.",,,,,,,,2021,5
,2021-05-18,terça,53,"sopa de abóbora, feijão, repolho, cenoura, carne e macarrão",,,,,,,,2021,5
2021-05-19 23:32:14.008,2021-05-19,quarta,62,"Arroz, feijão, frango e salada de repolho com cenoura.",,,,,,,,2021,5
2021-05-20 20:10:45.246,2021-05-20,quinta,60,Macarrão com molho de calabresa e ragu de carne com frango.,,,,,,,,2021,5
2021-05-22 00:16:44.071,2021-05-21,sexta,61,"Arroz, feijão, carne de panela e purê de abóbora cabotia.",,,,,,,,2021,5
2021-05-22 16:01:14.444,2021-05-22,sábado,55,"Arroz, feijão, calabresa acebolada e salada de abobrinha com abóbora.",,,,,,,,2021,5
,2021-05-24,segunda,55,Sopa de legumes com carne e macarrão,,,,,,,,2021,5
2021-05-27 08:51:12.296,2021-05-25,terça,54,"Strogonoff de frango , arroz e batata palha.",,,,,,,,2021,5
2021-05-27 08:52:00.828,2021-05-26,quarta,55,"Arroz, feijão,carne de panela e salada de cenoura com repolho.",,,,,,,,2021,5
2021-05-27 13:09:13.243,2021-05-27,quinta,63,Macarrão com ragu de carne e frango.,,,,,,,,2021,5
2021-05-29 05:50:01.365,2021-05-28,sexta,60,"Arroz, feijão, frango e purê de abóbora cobotia.",,,,,,,,2021,5
2021-05-29 23:19:55.796,2021-05-29,sábado,67,"Arroz, feijão, calabresa acebolada e salada e abóbora com abobrinha.",,,,,,,,2021,5
2021-06-01 12:16:35.466,2021-05-31,Segunda,58,"Sopa de frango, cenoura, repolho e macarrão.",5.0,,,,,,2.0,2021,5
2021-06-01 12:17:11.815,2021-06-01,Terça,55,"Arroz, Strogonoff de frango e batata palha.",5.0,,,,2.5,,,2021,6
2021-06-02 15:33:57.028,2021-06-02,Quarta,63,"Arroz, feijão,salada repolho com cenoura e carne de panela.",,5.0,,,2.5,2.0,,2021,6
,2021-06-03,Quinta,60,Macarrão com molho de frango e com ragu de frango e carne.,2.5,2.5,,,,,5.0,2021,6
2021-06-04 00:25:14.823,2021-06-04,Sexta,60,"Arroz, feijão, carne panela e mix de legumes( abóbora, cenoura e abobrinha).",,5.0,,,2.5,2.0,,2021,6
2021-06-06 13:04:29.549,2021-06-05,Sábado,68,"Arroz, feijão, purê abóbora cabotia e calabresa acebolada.",,,5.0,,2.5,2.0,,2021,6
2021-06-07 23:40:33.883,2021-06-07,Segunda,60,"Arroz, Strogonoff de frango e batata palha.",5.0,,,,2.5,,,2021,6
