Data,ID,Forma_Pagamento,Valor
03/01/2022,8311474,DOC - CREDITO EM CONTA,200.0
03/01/2022,61243703,DOC - CREDITO EM CONTA,30.0
03/01/2022,86336164,PIX RECEBIDO,100.0
03/01/2022,21718869,PIX RECEBIDO,50.0
03/01/2022,65837441,PIX RECEBIDO,100.0
03/01/2022,66554740,PIX RECEBIDO,100.0
03/01/2022,39619991,PIX RECEBIDO,100.0
03/01/2022,16443561,PIX RECEBIDO,100.0
03/01/2022,47477158,PIX RECEBIDO,250.0
03/01/2022,3470604,PIX RECEBIDO,30.0
03/01/2022,20637284,PIX RECEBIDO,50.0
03/01/2022,95625891,PIX RECEBIDO,30.0
03/01/2022,43600021,PIX RECEBIDO,30.0
03/01/2022,521369,PIX RECEBIDO,50.0
03/01/2022,80040980,PIX RECEBIDO,50.0
03/01/2022,60583946,PIX RECEBIDO,30.0
03/01/2022,54129872,PIX RECEBIDO,50.0
03/01/2022,31084513,PIX RECEBIDO,100.0
03/01/2022,80202154,PIX RECEBIDO,100.0
03/01/2022,90751717,PIX RECEBIDO,50.0
03/01/2022,54465447,PIX RECEBIDO,100.0
03/01/2022,36696773,PIX RECEBIDO,300.0
03/01/2022,51503443,PIX RECEBIDO,50.0
03/01/2022,17337878,PIX RECEBIDO,100.0
03/01/2022,21645217,PIX RECEBIDO,50.0
03/01/2022,46825102,PIX RECEBIDO,450.0
03/01/2022,16000918,PIX RECEBIDO,100.0
03/01/2022,81757505,PIX RECEBIDO,200.0
03/01/2022,85199846,PIX RECEBIDO,100.0
03/01/2022,51313840,PIX RECEBIDO,100.0
03/01/2022,69262892,PIX RECEBIDO,50.0
03/01/2022,86795011,PIX RECEBIDO,100.0
03/01/2022,11998721,PIX RECEBIDO,30.0
03/01/2022,92094271,PIX RECEBIDO,50.0
03/01/2022,20229240,PIX RECEBIDO,30.0
03/01/2022,95782718,PIX RECEBIDO,50.0
03/01/2022,11905834,PIX RECEBIDO,200.0
03/01/2022,89655637,PIX RECEBIDO,100.0
03/01/2022,8343606,PIX RECEBIDO,50.0
03/01/2022,10427629,PIX RECEBIDO,30.0
03/01/2022,17899486,PIX RECEBIDO,100.0
03/01/2022,75441102,PIX RECEBIDO,60.0
03/01/2022,24095953,PIX RECEBIDO,50.0
03/01/2022,83416169,PIX RECEBIDO,200.0
03/01/2022,33249407,PIX RECEBIDO,50.0
03/01/2022,14702559,PIX RECEBIDO,35.0
04/01/2022,77981122,PIX RECEBIDO,400.0
04/01/2022,42279010,PIX RECEBIDO,100.0
04/01/2022,73643886,PIX RECEBIDO,50.0
04/01/2022,82022482,PIX RECEBIDO,50.0
04/01/2022,98189054,PIX RECEBIDO,120.0
04/01/2022,64067276,PIX RECEBIDO,50.0
04/01/2022,32491153,PIX RECEBIDO,30.0
04/01/2022,99476794,PIX RECEBIDO,50.0
04/01/2022,85903401,PIX RECEBIDO,30.0
04/01/2022,66673177,PIX RECEBIDO,100.0
05/01/2022,13767097,PIX RECEBIDO,150.0
05/01/2022,31842310,TED RECEBIDA,50.0
06/01/2022,42485630,PIX RECEBIDO,200.0
06/01/2022,44104499,PIX RECEBIDO,100.0
06/01/2022,29595947,PIX RECEBIDO,100.0
06/01/2022,76622081,PIX RECEBIDO,200.0
